Rating,# of patient feedback,page_source,Specialty,Experience,Pincode,City,State,Hospital/Clinic name,Address,Education,Doctor name
 (1707 ratings),32 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-atindra-nath-bagchi-general-physician?lpt=PS-SRP,General Physician,"27, Years experience",,Kolkata,West bengol,"Bagchi Clinic, ","Khidirpur,,,Kolkata,",Diploma In Cardiology,"Dr. ,Atindra Nath Bagchi"
 (1804 ratings),58 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-dhruba-bhattacharya-general-physician?lpt=PS-SRP,General Physician,"41, Years experience",,Kolkata,West bengol,"NANDINI PHARMACY, ",",Kolkata,,","MBBS, PGC In Family Welfare & Health Management, DHA, PGD In Medical Laws & Ethics","Dr. ,Dhruba Bhattacharya"
 (102 ratings),4 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-janaki-raman-general-physician?lpt=PS-SRP,General Physician,"25, Years experience",,Kolkata,West bengol,"Doctors' Point, ","Dhakuria,,,Kolkata,","Diploma In Diabetology, Diploma In Cardiology","Dr. ,Janaki Raman"
 (123 ratings),4 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-debasish-pal-general-physician-1?lpt=PS-SRP,General Physician,"39, Years experience",,Kolkata,West bengol,"Dr. Debasish Clinic, ","Shobhabazar,,,Kolkata,",MBBS,"Dr. ,Debasish Pal"
 (32 ratings),1 patient feedback,https://www.lybrate.com/kolkata/doctor/dr-ayan-mukherjee-general-physician?lpt=PS-SRP,General Physician,"1, Year experience",,Kolkata,West bengol,"Loknath Doctors Chamber, ","Tollygunge,,,Kolkata,","MD - Pharmacology, Diploma In Endocrinology","Dr. ,Ayan Mukherjee"
 (534 ratings),2 patient feedback(s),https://www.lybrate.com/kolkata/doctor/mr-mangala-roy-general-physician?lpt=PS-SRP,General Physician,"32, Years experience",,Kolkata,West bengol,"Polestar Medicine Shop & Home, ","Rajarhat,,,Kolkata,","Master of Hospital Administration, DTM&H, MBBS","Dr. ,Mangala Roy"
 (10 ratings),,https://www.lybrate.com/kolkata/doctor/dr-jayita-chattopadhyay-general-physician?lpt=PS-SRP,General Physician,"27, Years experience",,Kolkata,West bengol,"S.S.Clinic, ","Kasba,,,Kolkata,",MBBS,"Dr. ,Jayita Chattopadhyay"
 (3179 ratings),46 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-amiya-kumar-chattopadhyay-general-physician?lpt=PS-SRP,General Physician,"42, Years experience",,Kolkata,West bengol,"462/1/1 P.K.Guha Road, ","Lalpur Chowk,,,Kolkata,","MBBS, Diploma in Cardiology, DTM&H(Diploma Tropical Medicine & Hygiene, PGD PPHC(Post graduate diploma in Preventive and promotive health care","Dr. ,Amiya Kumar Chattopadhyay"
 (17 ratings),2 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-dipankar-bhattacharya-general-physician?lpt=PS-SRP,General Physician,"23, Years experience",,Kolkata,West bengol,"Gharai Medical, ","Kamalgazi,,,Kolkata,","M.D. ( General Medicine ), MBBS","Dr. ,Dipankar Bhattacharya"
rating not found,1 patient feedback,https://www.lybrate.com/bangalore/doctor/dr-santhosh-kumar-general-physician?lpt=PS-SRP,General Physician,"11, Years experience",,Kolkata,West bengol,"Medall Clumax Diagnostic Horamavu, ","Mukundapur,,,Kolkata,","MBBS MD, MD - General Medicine","Dr. ,Santhosh Kumar"
