rating,offer,price,mrp,results,title_name
,83% off,₹169,999,https://www.flipkart.com/samtroh-men-casual-tan-artificial-leather-money-clip/p/itmf3ze6r2wvq6ds?pid=WCWFY4D6NGG7HKGQ&lid=LSTWCWFY4D6NGG7HKGQRH4I4C&marketplace=FLIPKART&srno=b_2_41&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=b211d00c-42d4-42ce-a926-cc78db7e5fb5.WCWFY4D6NGG7HKGQ.SEARCH,"Men Casual Tan Artificial Leather Money Clip,  (6 Card Slots)"
,82% off,₹179,999,https://www.flipkart.com/samtroh-men-tan-artificial-leather-wallet/p/itmfc5c8zftq38ng?pid=WCWFC32CCCBF5KRA&lid=LSTWCWFC32CCCBF5KRA65G0FH&marketplace=FLIPKART&srno=b_2_78&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=793355d9-6c75-41d8-bea5-58d6d424f134.WCWFC32CCCBF5KRA.SEARCH,"Men Tan Artificial Leather Wallet,  (8 Card Slots)"
,80% off,₹95,489,https://www.flipkart.com/fine-quality-12-card-slot-artificial-leather-debit-credit-id-visiting-10-holder/p/itmexdg5u2gfhvfw?pid=CHDEXD7EPJYXJHWG&lid=LSTCHDEXD7EPJYXJHWGF5EMTI&marketplace=FLIPKART&srno=b_2_76&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=d53430bf-f0fa-45e1-8605-1e6585e242e7.CHDEXD7EPJYXJHWG.SEARCH,"Fine Quality I 12 Card Slot I Artificial leather Debit/Credit/ID/Visiting 10 Card Holder,  (Set of 1, Brown)"
,77% off,₹179,799,https://www.flipkart.com/wenzest-men-casual-beige-artificial-leather-wallet/p/itmfc5a4r9dhhjgj?pid=WCWFC4ACTXWAYMAN&lid=LSTWCWFC4ACTXWAYMANLFLPL7&marketplace=FLIPKART&srno=b_2_77&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=9923c0cb-67f5-491b-83d7-ff149aefce7d.WCWFC4ACTXWAYMAN.SEARCH,"Men Casual Beige Artificial Leather Wallet,  (6 Card Slots)"
,64% off,₹538,"1,499",https://www.flipkart.com/ox-men-casual-black-genuine-leather-wallet/p/itmf3zfyp35fpcfb?pid=WCWFYSGDHCZS3DHY&lid=LSTWCWFYSGDHCZS3DHYWG5Q8R&marketplace=FLIPKART&srno=b_2_74&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=en_CLnHkEwOg5AJtQsnnnXu%2BfbuKqynHBwsWYakYI4wsmqx0Kl3TmJnKaKFxPN36JEaZhMEXWOF4cj5lcUu7JwGtw%3D%3D,"Men Casual Black Genuine Leather Wallet,  (4 Card Slots)"
,75% off,₹199,799,https://www.flipkart.com/wenzest-boys-casual-tan-artificial-leather-wallet/p/itmf85jbhdwcds5x?pid=WCWF83XCRHUXDE99&lid=LSTWCWF83XCRHUXDE99TJB7OM&marketplace=FLIPKART&srno=b_2_73&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=9afb36eb-14a5-4c50-a8dd-dec5cdfbdb6e.WCWF83XCRHUXDE99.SEARCH,"Boys Casual Tan Artificial Leather Wallet,  (6 Card Slots)"
,65% off,₹384,"1,099",https://www.flipkart.com/metronaut-men-black-genuine-leather-wallet/p/itmf3zecyy3zvhqy?pid=WCWEUBRXTFXYGXXE&lid=LSTWCWEUBRXTFXYGXXEXWR8L4&marketplace=FLIPKART&spotlightTagId=TrendingId_reh%2Fcca%2Fh76&srno=b_2_72&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=ac496073-4c8c-474c-aec3-39d2f516ab91.WCWEUBRXTFXYGXXE.SEARCH,"Men Black Genuine Leather Wallet,  (4 Card Slots)"
,76% off,₹311,"1,299",https://www.flipkart.com/dezire-crafts-men-casual-black-tan-artificial-leather-wallet/p/itmf3zexeb9ggcbb?pid=WCWEVYUHCVXHUEND&lid=LSTWCWEVYUHCVXHUENDGOXACC&marketplace=FLIPKART&srno=b_2_75&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=c454570e-800c-41ee-8fee-758224e01c14.WCWEVYUHCVXHUEND.SEARCH,"Men Casual Black, Tan Artificial Leather Wallet,  (7 Card Slots)"
,80% off,₹199,999,https://www.flipkart.com/samtroh-boys-formal-black-genuine-leather-wallet/p/itmf4hvspmg8tc9a?pid=WCWF4HF3NY2BU769&lid=LSTWCWF4HF3NY2BU769LJJ2AA&marketplace=FLIPKART&srno=b_2_79&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=910bc16e-e777-48b9-a59b-06ce523e2293.WCWF4HF3NY2BU769.SEARCH,"Boys Formal Black Genuine Leather Wallet,  (6 Card Slots)"
,73% off,₹539,"1,999",https://www.flipkart.com/hidelink-men-casual-tan-genuine-leather-wallet/p/itmfbvhydchzhqps?pid=WCWFBV9BDCYUGKJH&lid=LSTWCWFBV9BDCYUGKJH4OZTJV&marketplace=FLIPKART&srno=b_2_80&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=en_CLnHkEwOg5AJtQsnnnXu%2BfbuKqynHBwsWYakYI4wsmpt3jjRm4%2BZOIx9BLzvy77FqgRtu8XbVAx51lZTo%2ByQ0g%3D%3D,"Men Casual Tan Genuine Leather Wallet,  (8 Card Slots)"
,76% off,₹473,"1,999",https://www.flipkart.com/rasso-men-brown-genuine-leather-wallet/p/itmfcm7vhchfr3xb?pid=WCWFCHZNZET3JZKM&lid=LSTWCWFCHZNZET3JZKMCYQKE7&marketplace=FLIPKART&srno=b_2_70&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=en_CLnHkEwOg5AJtQsnnnXu%2BfbuKqynHBwsWYakYI4wsmq9TnG%2BEshuyIbr9SmYcA99%2FD7z%2FZO%2F9sFfELgwJN2trw%3D%3D,"Men Brown Genuine Leather Wallet,  (8 Card Slots)"
